,subcategory,categories,SchoolsUID,slugSubcategory,slugCategory,countSchools,athenscity,athensSchools,athenscount,thessCity,thessSchools,thessCount
91,Μοντέρνος Χορός,Χορός,7042020140113school,modern-dance,xoros,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
92,Παραδοσιακοί Χοροί,Χορός,,paradosiakoi-xoroi,xoros,0,Αθήνα,,0,Θεσσαλονίκη,,0
93,Σχολή Χορού,Χορός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school",sxoli-xorou,xoros,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
94,Τάνγκο,Χορός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school",tango,xoros,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
95,Πόλο,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",polo,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
96,Συγχρονισμένη Κολύμβηση,Αθλητισμός,7042020140113school,sigxronismeni-kolimvisi,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
97,Badminton,Αθλητισμός,7042020140113school,badminton,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
98,Σκοποβολή,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school",shooting,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
99,Άρση Βαρών,Αθλητισμός,7042020140113school,lifting,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
100,Μπαλέτο,Χορός,"7042020140113school,7042020140113school,7042020140113school",balet,xoros,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
101,Ψάρεμα,Θάλασσα,,phishing,water-sports,0,Αθήνα,,0,Θεσσαλονίκη,,0
102,Beach Volley,Αθλητισμός,7042020140113school,beachvolley,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
103,Jeet Kune Do,Πολεμικές τέχνες,7042020140113school,jeetkunedo,polemikes-texnes,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,,0
104,TRX,Κλειστού Χώρου,7042020140113school,trx,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
105,Tae  Bο,Κλειστού Χώρου,,taaebo,kleistou-xorou,0,Αθήνα,,0,Θεσσαλονίκη,,0
106,Oρθοσωμική,Κλειστού Χώρου,7042020140113school,orthosomiki,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
107,Body Bars,Κλειστού Χώρου,,bodybars,kleistou-xorou,0,Αθήνα,,0,Θεσσαλονίκη,,0
108,Stretching,Κλειστού Χώρου,7042020140113school,stretching,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
109,Kids fitness,Κλειστού Χώρου,7042020140113school,kidsfitness,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
110,Ελληνικοί Χοροί,Χορός,7042020140113school,ellinikoixoroi,xoros,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
111,Ζωγραφική,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,zwgrafiki,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
112,Σκίτσο - Κόμικ,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,skitsocomic,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
113,Fitness,Κλειστού Χώρου,7042020140113school,fitness,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
114,Πλεκτική,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,plektiki,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
115,Μακραμέ-Κόσμημα,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,makramekosmima,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
116,Διακοσμητικές Κατασκευές,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,diakosmitikaconstructions,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
117,Κοπτική_ραπτική,Παιδαγωγικά  Καλιτεχνικά,7042020140113school,koptikiraptiki,paidagogika-kallitexnika,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
118,Σκουός,Κλειστού Χώρου,7042020140113school,skouos,kleistou-xorou,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
119,Hip Hop,Χορός,7042020140113school,hiphop,xoros,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
120,ΛΆΤΙΝ & ΕΥΡΩΠΑΪΚΟΙ ΧΟΡΟΙ,Χορός,,latinevropaiki,xoros,0,Αθήνα,,0,Θεσσαλονίκη,,0
121,BREAKDANCE,Χορός,,breakdance,xoros,0,Αθήνα,,0,Θεσσαλονίκη,,0
122,SALSA & BACHATA,Χορός,7042020140113school,salsabachata,xoros,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
123,MODERN JAZZ DANCE,Χορός,,modernjazz,xoros,0,Αθήνα,,0,Θεσσαλονίκη,,0
124,ΣΥΓΧΡΟΝΟΣ ΧΟΡΟΣ,Χορός,7042020140113school,moderndance,xoros,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
